direction,date,hour,ATC(MW),"total requested capacity (MW)","total allocated capacity (MW)","auction price (EUR/MWh)"
HURS,2017-01-06,1,567,1392,567,6.02
HURS,2017-01-06,2,567,1320,567,6.02
HURS,2017-01-06,3,567,1608,567,6.02
HURS,2017-01-06,4,567,1455,567,6.02
HURS,2017-01-06,5,567,1377,567,6.02
HURS,2017-01-06,6,567,1375,567,6.02
HURS,2017-01-06,7,638,1259,638,2.10
HURS,2017-01-06,8,664,1341,664,3.00
HURS,2017-01-06,9,667,1252,667,2.00
HURS,2017-01-06,10,672,1273,672,2.00
HURS,2017-01-06,11,682,1277,682,2.00
HURS,2017-01-06,12,682,1283,682,2.00
HURS,2017-01-06,13,682,1293,682,2.00
HURS,2017-01-06,14,682,1284,682,2.00
HURS,2017-01-06,15,682,1288,682,2.00
HURS,2017-01-06,16,672,1275,672,2.00
HURS,2017-01-06,17,688,1284,688,2.00
HURS,2017-01-06,18,678,1319,678,2.01
HURS,2017-01-06,19,672,1335,671,2.01
HURS,2017-01-06,20,672,1336,671,2.01
HURS,2017-01-06,21,672,1369,671,3.01
HURS,2017-01-06,22,653,1357,653,3.65
HURS,2017-01-06,23,579,1441,579,5.50
HURS,2017-01-06,24,564,1417,563,7.00
RORS,2017-01-06,1,10,52,10,12.13
RORS,2017-01-06,2,10,52,10,12.77
RORS,2017-01-06,3,10,52,10,14.10
RORS,2017-01-06,4,10,52,10,13.29
RORS,2017-01-06,5,10,52,10,11.49
RORS,2017-01-06,6,10,52,10,7.70
RORS,2017-01-06,7,10,52,10,7.70
RORS,2017-01-06,8,10,52,10,7.60
RORS,2017-01-06,9,10,52,10,8.12
RORS,2017-01-06,10,10,52,10,7.86
RORS,2017-01-06,11,10,52,10,8.45
RORS,2017-01-06,12,10,52,10,8.54
RORS,2017-01-06,13,10,52,10,8.99
RORS,2017-01-06,14,10,52,10,8.95
RORS,2017-01-06,15,10,52,10,8.02
RORS,2017-01-06,16,10,52,10,9.34
RORS,2017-01-06,17,10,52,10,10.00
RORS,2017-01-06,18,10,52,10,13.44
RORS,2017-01-06,19,10,52,10,12.20
RORS,2017-01-06,20,10,52,10,10.90
RORS,2017-01-06,21,10,52,10,9.65
RORS,2017-01-06,22,10,52,10,8.97
RORS,2017-01-06,23,10,52,10,10.00
RORS,2017-01-06,24,10,52,10,10.28
BGRS,2017-01-06,1,5,33,5,7.28
BGRS,2017-01-06,2,5,33,5,7.28
BGRS,2017-01-06,3,5,33,5,7.28
BGRS,2017-01-06,4,5,33,5,7.28
BGRS,2017-01-06,5,5,33,5,7.28
BGRS,2017-01-06,6,5,33,5,7.28
BGRS,2017-01-06,7,5,33,5,7.28
BGRS,2017-01-06,8,5,33,5,8.85
BGRS,2017-01-06,9,5,33,5,8.85
BGRS,2017-01-06,10,5,33,5,8.85
BGRS,2017-01-06,11,5,33,5,8.85
BGRS,2017-01-06,12,5,35,5,8.85
BGRS,2017-01-06,13,5,33,5,8.85
BGRS,2017-01-06,14,5,33,5,8.85
BGRS,2017-01-06,15,5,37,5,10.00
BGRS,2017-01-06,16,5,37,5,10.00
BGRS,2017-01-06,17,5,37,5,11.23
BGRS,2017-01-06,18,5,37,5,13.44
BGRS,2017-01-06,19,5,37,5,14.55
BGRS,2017-01-06,20,5,37,5,13.14
BGRS,2017-01-06,21,5,37,5,15.00
BGRS,2017-01-06,22,5,37,5,12.85
BGRS,2017-01-06,23,5,37,5,10.95
BGRS,2017-01-06,24,5,42,5,10.00
HRRS,2017-01-06,1,283,496,282,0.11
HRRS,2017-01-06,2,283,496,282,0.11
HRRS,2017-01-06,3,283,496,282,0.11
HRRS,2017-01-06,4,283,496,282,0.11
HRRS,2017-01-06,5,283,496,282,0.11
HRRS,2017-01-06,6,283,496,282,0.11
HRRS,2017-01-06,7,358,496,357,0.05
HRRS,2017-01-06,8,357,496,355,0.05
HRRS,2017-01-06,9,347,496,346,0.05
HRRS,2017-01-06,10,347,496,346,0.05
HRRS,2017-01-06,11,347,496,346,0.05
HRRS,2017-01-06,12,347,496,346,0.05
HRRS,2017-01-06,13,347,496,346,0.05
HRRS,2017-01-06,14,347,496,346,0.05
HRRS,2017-01-06,15,347,496,346,0.05
HRRS,2017-01-06,16,347,496,346,0.05
HRRS,2017-01-06,17,347,496,346,0.05
HRRS,2017-01-06,18,347,496,346,0.05
HRRS,2017-01-06,19,347,496,346,0.05
HRRS,2017-01-06,20,347,496,346,0.05
HRRS,2017-01-06,21,347,496,346,0.05
