direction,date,hour,ATC(MW),"total requested capacity (MW)","total allocated capacity (MW)","auction price (EUR/MWh)"
HURS,2017-01-07,1,591,1445,591,2.85
HURS,2017-01-07,2,591,1375,591,2.55
HURS,2017-01-07,3,591,1382,591,3.30
HURS,2017-01-07,4,591,1382,591,3.41
HURS,2017-01-07,5,591,1303,591,2.85
HURS,2017-01-07,6,591,1362,591,3.30
HURS,2017-01-07,7,601,1373,601,1.55
HURS,2017-01-07,8,600,1323,600,1.20
HURS,2017-01-07,9,597,1350,597,1.23
HURS,2017-01-07,10,597,1378,597,1.25
HURS,2017-01-07,11,617,1396,617,1.25
HURS,2017-01-07,12,617,1415,617,1.55
HURS,2017-01-07,13,617,1411,617,1.55
HURS,2017-01-07,14,621,1410,621,1.55
HURS,2017-01-07,15,618,1410,618,1.55
HURS,2017-01-07,16,622,1414,622,1.55
HURS,2017-01-07,17,657,1424,657,1.25
HURS,2017-01-07,18,662,1456,662,1.55
HURS,2017-01-07,19,636,1468,636,1.55
HURS,2017-01-07,20,662,1466,662,1.55
HURS,2017-01-07,21,636,1489,636,3.65
HURS,2017-01-07,22,616,1560,615,4.51
HURS,2017-01-07,23,588,1551,587,4.51
HURS,2017-01-07,24,588,1522,587,4.51
RORS,2017-01-07,1,0,0,0,0.00
RORS,2017-01-07,2,0,0,0,0.00
RORS,2017-01-07,3,0,0,0,0.00
RORS,2017-01-07,4,0,0,0,0.00
RORS,2017-01-07,5,0,0,0,0.00
RORS,2017-01-07,6,0,0,0,0.00
RORS,2017-01-07,7,0,0,0,0.00
RORS,2017-01-07,8,0,0,0,0.00
RORS,2017-01-07,9,0,0,0,0.00
RORS,2017-01-07,10,0,0,0,0.00
RORS,2017-01-07,11,0,0,0,0.00
RORS,2017-01-07,12,0,0,0,0.00
RORS,2017-01-07,13,0,0,0,0.00
RORS,2017-01-07,14,0,0,0,0.00
RORS,2017-01-07,15,0,0,0,0.00
RORS,2017-01-07,16,0,0,0,0.00
RORS,2017-01-07,17,0,0,0,0.00
RORS,2017-01-07,18,0,0,0,0.00
RORS,2017-01-07,19,0,0,0,0.00
RORS,2017-01-07,20,0,0,0,0.00
RORS,2017-01-07,21,0,0,0,0.00
