1	A01	10YDE-VE-------2	10YDE-VE-------2	400
2	A01	10YAL-KESH-----5	10YDE-VE-------2	400
3	A01	10YDE-RWENET---I	10YDE-VE-------2	400
4	A01	10YAT-APG------L	10YDE-VE-------2	400
5	A01	BY	10YDE-VE-------2	400
6	A01	10Y1001A1001A51S	10YDE-VE-------2	400
7	A01	10YBE----------2	10YDE-VE-------2	400
8	A01	10YBA-JPCC-----D	10YDE-VE-------2	400
9	A01	10YCA-BULGARIA-R	10YDE-VE-------2	400
10	A01	10YDOM-CZ-DE-SKK	10YDE-VE-------2	400
11	A01	10YHR-HEP------M	10YDE-VE-------2	400
12	A01	10YDOM-REGION-1V	10YDE-VE-------2	400
13	A01	10YCY-1001A0003J	10YDE-VE-------2	400
14	A01	10YCZ-CEPS-----N	10YDE-VE-------2	200
15	A01	10Y1001A1001A63L	10YDE-VE-------2	400
16	A01	10Y1001A1001A82H	10YDE-VE-------2	400
17	A01	10Y1001A1001A65H	10YDE-VE-------2	400
18	A01	10YDK-1--------W	10YDE-VE-------2	400
19	A01	10YDK-2--------M	10YDE-VE-------2	400
20	A01	10Y1001A1001A796	10YDE-VE-------2	400
21	A01	10Y1001A1001A39I	10YDE-VE-------2	400
22	A01	10YFI-1--------U	10YDE-VE-------2	400
23	A01	10YMK-MEPSO----8	10YDE-VE-------2	400
24	A01	10YFR-RTE------C	10YDE-VE-------2	400
25	A01	10Y1001A1001A83F	10YDE-VE-------2	400
26	A01	10YGR-HTSO-----Y	10YDE-VE-------2	400
1	A01	10YDE-VE-------2	10YDE-VE-------2	400	400
2	A01	10YAL-KESH-----5	10YDE-VE-------2	400	400
3	A01	10YDE-RWENET---I	10YDE-VE-------2	400	400
4	A01	10YAT-APG------L	10YDE-VE-------2	400	400
5	A01	BY	10YDE-VE-------2	400	400
6	A01	10Y1001A1001A51S	10YDE-VE-------2	400	400
7	A01	10YBE----------2	10YDE-VE-------2	400	400
8	A01	10YBA-JPCC-----D	10YDE-VE-------2	400	400
9	A01	10YCA-BULGARIA-R	10YDE-VE-------2	400	400
10	A01	10YDOM-CZ-DE-SKK	10YDE-VE-------2	400	400
11	A01	10YHR-HEP------M	10YDE-VE-------2	400	400
12	A01	10YDOM-REGION-1V	10YDE-VE-------2	400	400
13	A01	10YCY-1001A0003J	10YDE-VE-------2	400	400
14	A01	10YCZ-CEPS-----N	10YDE-VE-------2	200	200
15	A01	10Y1001A1001A63L	10YDE-VE-------2	400	400
16	A01	10Y1001A1001A82H	10YDE-VE-------2	400	400
17	A01	10Y1001A1001A65H	10YDE-VE-------2	400	400
18	A01	10YDK-1--------W	10YDE-VE-------2	400	400
19	A01	10YDK-2--------M	10YDE-VE-------2	400	400
20	A01	10Y1001A1001A796	10YDE-VE-------2	400	400
21	A01	10Y1001A1001A39I	10YDE-VE-------2	400	400
22	A01	10YFI-1--------U	10YDE-VE-------2	400	400
23	A01	10YMK-MEPSO----8	10YDE-VE-------2	400	400
24	A01	10YFR-RTE------C	10YDE-VE-------2	400	400
25	A01	10Y1001A1001A83F	10YDE-VE-------2	400	400
26	A01	10YGR-HTSO-----Y	10YDE-VE-------2	400	400
27	A01	10YHU-MAVIR----U	10YDE-VE-------2	400	400
28	A01	IS	10YDE-VE-------2	400	400
29	A01	10Y1001A1001A59C	10YDE-VE-------2	400	400
30	A01	10YIE-1001A00010	10YDE-VE-------2	400	400
31	A01	10YIT-GRTN-----B	10YDE-VE-------2	400	400
32	A01	10Y1001A1001A885	10YDE-VE-------2	400	400
33	A01	10Y1001A1001A893	10YDE-VE-------2	400	400
34	A01	10Y1001A1001A699	10YDE-VE-------2	400	400
35	A01	10Y1001A1001A70O	10YDE-VE-------2	400	400
36	A01	10Y1001A1001A71M	10YDE-VE-------2	400	400
37	A01	10Y1001A1001A72K	10YDE-VE-------2	400	400
38	A01	10Y1001A1001A66F	10YDE-VE-------2	400	400
39	A01	10Y1001A1001A84D	10YDE-VE-------2	400	400
40	A01	10Y1001A1001A85B	10YDE-VE-------2	400	400
41	A01	10Y1001A1001A877	10YDE-VE-------2	400	400
42	A01	10Y1001A1001A73I	10YDE-VE-------2	400	400
43	A01	10Y1001A1001A80L	10YDE-VE-------2	400	400
44	A01	10Y1001A1001A68B	10YDE-VE-------2	400	400
45	A01	10Y1001A1001A81J	10YDE-VE-------2	400	400
46	A01	10Y1001A1001A67D	10YDE-VE-------2	400	400
